_id,workup,treatment,symptoms,name,description,other_specific_tests,has_inteli_health_additions
796,A history and physical exam will be performed. People with chronic urticaria will have blood tests to look for an underlying cause. Also allergy testing may be performed.,"If the urticaria is due to one or more allergens, avoidance is the best way to reduce recurrences. Treatment includes antihistamines and corticosteroids. Severe acute cases may require epinephrine.","Rash consisting of batches of raised, red or white itchy welts. The welts vary in size and can appear and disappear quickly. Similar swelling and rash may appear in the eyes, mouth and vagina.",Urticaria (hives),"An itchy rash that is caused by fluid entering the skin after a localized release of histamine. An allergic reaction is the most common cause. Occasionally they are chronic and recurrent with no known inciting event. They occur singly and in groups and can affect the lips, eyes and other mucous membranes of the body as well as the skin.",,0
797,"A history and physical exam will be performed. A pelvic exam will establish the diagnosis. Further information may be obtained by obtaining imaging, such as MRI or ultrasound.","Therapy depends on the severity of the prolapse and the symptoms being experienced. Treatment includes: losing weight, pelvic muscle exercises, vaginal pessary, and/or surgery.","Sensation of heaviness or pulling in the pelvis, vaginal fullness, leaking of urine, difficulty urinating, low backache, tissue protruding from the uterus, difficult or painful sexual intercourse.",Uterine prolapse (uterine vaginal protrusion),"The uterus has sunk from its normal location and extends into the vagina. When severe, it can project outside the vagina. The disorder occurs when the ligaments and muscles that hold the uterus in place become stretched and damaged. Multiple child births and the loss of muscle mass and strength associated with aging are the major causes.",,1
798,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis. A decrease in the fetal heart rate is the most sensitive diagnostic tool.,"Immediate surgery to deliver the baby and stop the maternal hemorrhage is the mainstay of therapy. Other treatments include blood transfusions, intravenous fluids and support of the mother's vital signs.","Pelvic pain, vaginal hemorrhage, cessation of uterine contractions, slow heart rate of fetus.",Uterine rupture (uterine tear during childbirth),Tearing of the uterus that occurs during labor. If not immediately treated it can result in the death of the fetus and the mother. It is more common in women with previous C-sections. The first sign of the disorder is marked fetal bradycardia.,,0
799,"A history and physical exam will be performed. The slit lamp exam is used to make the diagnosis. Depending on the suspected cause, other tests may be done.","The goal of therapy is to control the inflammation, reduce the symptoms and determine the cause of the disorder. Treatment includes: corticosteroid eye drops and pain medications.","Redness of the eye, blurred vision, sensitivity to light, floating spots in the vision, eye pain, irregularly shaped pupil.","Uveitis (iritis, eye inflammation)","The uvea is the portion of the eye that contains the iris, the ciliary body and the choroid. Uveitis or iritis is inflammation of this area. It is most commonly seen between the ages 20 to 50. It can be serious, causing permanent loss of vision. Uveitis may occur without any identified cause, but it is often caused by autoimmune diseases (rheumatoid arthritis, ankylosing spondylitis), inflammatory conditions (Crohn's disease, ulcerative colitis), trauma, and infections (toxoplasmosis, syphilis, tuberculosis).",,1
800,A history and physical exam will be performed if needed.,"Symptomatic treatment for mild reactions with acetaminophen (Tylenol) and/or nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve).","Fever, chills, sore injection site, redness of injection site.",Vaccination,"The act of administering a vaccine. Vaccines have greatly reduced the incidence of infectious diseases. They are especially important for children, older adults and people visiting other countries. Adverse effects of vaccines include: fever, chills, sore injection site, and redness of injection site.",,0
801,A history and physical exam will be performed. Additional tests may be done to establish the diagnosis.,Liberal use of vaginal lubricants. Consider estrogen cream or low dose estrogen pills or patches.,"Vaginal dryness, vaginal burning, painful intercourse, increased risk of urinary tract infections.",Vaginal atrophy (atrophic vaginitis),"Thinning and inflammation of the vaginal walls. The disorder occurs around or after menopause and is caused by declining levels of estrogen. Any other disorder that corresponds with lower levels of estrogen can also lead to the disorder including surgical removal of the ovaries, chemotherapy, or hormone therapy for breast cancer.","PAP smear, ",1
802,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis. A biopsy will identify the type of cancer.,"The specific therapy depends on the extent of the disease. Treatment consists of surgery, chemotherapy and/or radiation therapy.

For more information contact the American Cancer Society: (800)227-2345","Vaginal bleeding, vaginal discharge, vaginal and/or pelvic pain, painful intercourse. Some patients have no symptoms.",Vaginal cancer (tumor),"An abnormal and malignant growth of cells of the vagina and vulva. It occurs most often in women older than 60 but can affect any age group. Squamous cell carcinoma is the most common cause, although adenocarcinomas, sarcomas, and melanomas are also seen. Women with an infection of the human papilloma virus (HPV) are increased risk of developing the disease. This is one of the reasons the CDC recommends the HPV vaccine for all young girls and women.","PAP smear, colposcopy, biopsy",1
803,A history and physical exam will be performed.,Treatment includes removal of the foreign body. Antibiotics may be administered for co-existing infection.,"Vaginal discharge, vaginal bleeding, foul smelling discharge, fullness in the vagina.",Vaginal foreign body,Any object not intended to be placed in the vaginal cavity. These can be placed accidentally or intentionally. If not removed they can cause infection and erosion of the vaginal wall.,,0
805,A history and physical exam will be performed. A wet prep of the vaginal secretions is done revealing the organisms.,"Treatment depends on the cause of the inflammation and may include: antibiotics, anti-fungal medications, or estrogen.","Vaginal pain, vaginal discharge, pain with intercourse, swelling of the vulva, vaginal burning, vaginal itching.",Vaginitis (vaginal infection inflammation),"Inflammation of the vagina. The most common causes include: bacterial infection, yeast infection, atrophy from lack of estrogen, trichomonas infection or from chemical irritation. If bacteria or trichomonas is the cause, the sexual partners should be treated as well to prevent re-infection.",Wet prep,1
807,A history and physical exam will be performed. A testicular ultrasound is sometimes performed to rule out another reason for a scrotal bulge.,"Usually no therapy is needed. If there is discomfort, a scrotal support (jock strap) or snug underwear may help. Infertile men may consider surgery (varicocelectomy) or varicocele embolization, which may help raise sperm counts and improve sperm quality.","Enlarged and twisted vein(s) in the scrotum, painless testicle lump, scrotal swelling, palpable bulge within the scrotum, smaller testicle on the side of the varicocele. Many men are not aware that they have a varicocele unless it's found by the doctor.",Varicocele (testicular vein enlargement),"An enlargement of one or more veins within the scrotum forms a varicocele. They are similar to varicose veins in the leg. They are associated with low sperm counts and diminished sperm motility. However, most men with varicoceles have adequate sperm counts and are fertile. It is a common disorder affecting 1 in 6 men. Due to the venous drainage of the testicles, they are more commonly found on the left.",,0
808,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis and rule out other causes of the headaches.,"These headaches are typically treated similar to migraines. Several different types of medications may be used including: Ergots like dihydroergotamine, ergots with caffeine (Cafergot); and/or triptans like sumatriptan (Imitrex), rizatriptan (Maxalt), almotriptan (Axert), frovatriptan (Frova), and zolmitriptan (Zomig). They can be taken orally, nasally or as a self-injection.","Severe headache (throbbing, pounding, pulsating), nausea, vomiting, sensitivity to light or sound, loss of appetite, fatigue, numbness, tingling, weakness. ",Blood vessel headache,A group of headaches that include migraine. It was believed the pain originated from dilation of the blood vessels of the head resulting in the headache experienced. It is an outdated term and some authorities reject the original premise that these headaches arise from abnormalities of the blood vessels.,"CT scan, MRI scan, lumbar puncture.",0
809,A history and physical exam will be performed. The initial test is usually a non-invasive test called an ankle-brachial index (ABI). A CT angiogram or standard angiogram can show where the arteries are blocked. ,"The treatment depends on the severity of disease and the location of the artery blockage. Smokers must quit immediately. Graduated walking exercises can help decrease symptoms. Drug therapy usually includes aspirin or another anti-platelet drug, such as clopidogrel/Plavix. Other drugs used to help relieve symptoms include cilostazol (Pletal) and pentoxifylline (Trental). Surgical procedures include intra-arterial stenting and artery bypass.","Pain in the leg with exercise, cool feet, weak pulse, numbness, skin discoloration.","Vascular insufficiency due to peripheral artery disease (PAD, claudication, inadequate blood flow)","The sensation of muscle fatigue or cramp-like pain that may occur in one or both legs, usually after minimal exercise. Symptoms are relieved after resting, and the calf is most commonly affected, but symptoms may be felt in the thighs, buttocks, hips or feet. Peripheral arterial disease from a buildup of plaque in the walls of arteries (atherosclerosis) is the usual cause. As the buildup continues the artery becomes more and more narrow, and can eventually lead to increased infections and loss of the leg.","CT angiogram, standard angiogram",0
810,A history and physical exam will be performed. A series of special blood tests and a biopsy can help identify the exact type of vasculitis.,"Therapy is aimed at reducing the inflammation in the arteries. Treatment depends on the location and extent of the disease. Corticosteroids (prednisone, methylprednisolone) are almost always used. For severe vasculitis, cyclophosphamide/Cytoxan, rituximab (Rituxan) or mycophenolate mofetil (CellCept) is often necessary.","Symptoms involve any body part being supplied by the affected artery. Symptoms include: skin rash, painful spots on fingers or toes that turn blue, ulcers that do not heal, joint pain, abdominal pain, numbness and/or tingling in an arm or leg, decrease function of an arm or leg, fever, headache, seizures.",Vasculitis (inflammation of the arteries),"The walls of blood vessels are damaged by inflammation. The arteries are primarily involved leading to decrease blood flow. This decreased blood flow causes the damage and symptoms experienced. Vasculitis can involve large or small blood vessels in any area of the body. Examples of vasculitis include giant cell arteritis, temporal arteritis, ANCA positive vasculitis (granulomatosis with polyangiitis), and small vessel vasculitis (Henoch-Schonlein purpura, lupus).","Biopsy of the artery, skin biopsy, nerve biopsy, ESR (erythrocyte sedimentation rate), hepatitis profile, blood test for antibodies against neutrophils (ANCA antibodies)",1
811,A history and physical exam will be performed. Tests may be done to rule out other causes of the fainting.,The main therapy is avoidance of the trigger. Immediately sitting down or laying down at the first warning of the event may prevent the fainting.,"Sudden nausea, lightheadedness and fainting after seeing blood or an emotional event. Other symptoms include: sweating, vomiting.",Vasovagal syncope (fainting),Fainting caused by a vasovagal reaction. A vasovagal reaction is the most common cause of fainting. It is an over stimulus of the parasympathetic nervous system by such triggers as the sight of blood or extreme emotional distress. The response causes a slowing of the heart rate and a drop in the blood pressure resulting in decreased blood flow to the brain and a loss of consciousness. It is the reason people faint when they hear bad news or have their blood drawn.,,0
812,A history and physical exam will be performed. A CTA (a type of CT scan) or MRA (a type of MRI) of the head and neck will usually be done to establish the diagnosis.,"Treatment depends on the size of the dissection. Therapy may include: anti-platelet medications (aspirin, clopidogrel/Plavix), anticoagulation with heparin, and/or blood pressure medications.","Room spinning (vertigo), double vision, incoordination, problems swallowing, difficulty speaking, weakness.",Vertebral artery dissection (neck artery tear),"The vertebral artery feeds into the basilar artery. The basilar artery supplies the cerebellum and mid brain. The vertebral arteries travel through a channel in the spine. Sudden movement of the neck, such as in a car accident, can cause injury (dissection) of this vessel. But a specific cause may not be identified. The dissection can cause an obstruction of blood flow resulting in a stroke. Strokes in this area cause balance problems, room spinning, double vision and difficulty speaking.","Echocardiogram, CTA of the neck, MRA of the neck, PT (Protime), PTT (Partial Thromboplastin Time)",0
813,"A history and physical exam will be performed. An x-ray, CT scan or MRI will usually be done to identify the fracture.","Treatment depends on the location of the fracture, the size of the fracture and whether or not the spinal cord is injured. Some fractures require only pain medications and observation. Other treatment options include: kyphoplasty (injection of material into the vertebra to repair the bone), physical therapy, and surgical fixation.","Back pain that may become chronic, shortened height, hunchback (kyphosis), numbness, weakness, loss of bowel or bladder control.",Vertebral fracture (broken back or neck bone),"The vertebrae are the bones in the neck and back. Fractures are broken bones. The severity of a vertebral fracture depends on the location and whether or not the fracture affects the spinal cord. The most common fracture is a compression fracture of the lower thoracic and lumbar spine. These commonly occur in elderly patients and can be the result of minor trauma such as sitting down too hard. Vertebral fractures can be true emergencies if the spinal cord is injured. Symptoms of weakness, numbness and/or loss of bowel or bladder control require an immediate evaluation.",,0
814,A history and physical exam will be performed. A CTA (a type of CT scan) or MRA (a type of MRI) of the head and neck will usually be done to establish the diagnosis.,"Therapy is divided into emergency treatment, and the prevention of recurrences. Treatment of acute symptoms may include: anti-platelet medications (aspirin, clopidogrel/Plavix), heparin, blood pressure medications, and/or thrombolytics. Thrombolytics or clot busting medications can only be given if patients are diagnosed within several hours of their first symptoms. Prevention of the disorder involves controlling blood pressure, treating elevated cholesterol, and not smoking.","Loss of vision, particularly affecting the same part of the visual field on both eyes, double vision, vertigo (sensation of things spinning around), numbness or tingling, nausea and vomiting, difficulty swallowing, problems with balance, poor coordination, headache, neck ache, loss of hearing, slurred speech.",Vertebral- basilar artery insufficiency (inadequate blood flow to the back of the brain),"Insufficient blood flow to the cerebellum and mid brain. The vertebral arteries feed into the basilar artery. They supply blood to the cerebellum and mid brain. Decreased blood flow in this area causes balance problems, room spinning, double vision and difficulty speaking. These blood vessels can be blocked from atherosclerosis, an arterial dissection, or an embolus (a blood clot from the heart that breaks loose and lodges in the vertebral or basilar artery). Atrial fibrillation is the most cause of emboli travelling from the heart to an artery.","Neck CTA, Neck MRA, echocardiogram, PT (Protime), PTT (Partial Thromboplastin Time)",0
815,A history and physical exam will be performed. A CTA (a type of CT scan) or MRA (a type of MRI) of the head and neck will usually be done to establish the diagnosis.,"Treatment depends on the size of the stroke, the timing of the symptoms, and co-existing illness of the patient. Therapy may include: anti-platelet medications (aspirin, clopidogrel/Plavix), heparin, and/or thrombolytics. Thrombolytics or clot busting medications can only be given if patients are diagnosed within several hours of their first symptoms. Prevention of the disorder involves controlling blood pressure, treating elevated cholesterol, and not smoking.","Room spinning (vertigo), double vision, incoordination, problems swallowing, difficulty speaking, weakness.",Vertebral-basilar stroke (stroke in the back of the brain),"A stroke is an injury to the brain from insufficient blood flow resulting in brain death. The vertebral-basilar artery supplies the cerebellum and mid brain. A stroke in this area causes balance problems, room spinning, double vision and difficulty speaking. These blood vessels can be blocked by atherosclerosis, an arterial dissection, or an embolus (a blood clot from the heart that breaks loose and lodges in the vertebral or basilar artery). Atrial fibrillation is the most cause of emboli travelling from the heart to an artery.","Echocardiogram, CTA of the neck, MRA of the neck, PT (Protime), PTT (Partial Thromboplastin Time)",0
816,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis.,"The Epley maneuver performed by a clinician may be able to relieve the symptoms. Also there are exercises that can be done at home.  Medications may include: antihistamines, anticholinergics, and sedatives.","Room spinning, spinning sensation of the person, nausea, vomiting, incoordination, symptoms get worse with head movement, symptoms decrease with eyes close.",Vertigo (spinning sensation),"The sensation of the room spinning or the person spinning. The symptoms of vertigo typically get worse with head movement, and decrease with the eyes closed. Nausea and vomiting are frequently associated with vertigo. There are many causes of vertigo with the most common being: labyrinthitis, vestibular neuronitis, benign paroxysmal positional vertigo, motion sickness syndrome and Meniere's disease. Rarer causes include: vestibular migraines, inner ear trauma, perilymphatic fistula, medication damage to inner ear (ototoxicity), acoustic neuromas and other cerebellopontine angle tumors, vertebral basilar insufficiency, and multiple sclerosis.","Head MRA, caloric stimulation (tests eye reflexes), electronystagmograph, EEG, evoked auditory potential studies",1
817,"A history and physical exam will be performed including a pelvic examination. Imaging tests, such as a CT scan with dye, will be done to establish the diagnosis.",For small fistulas diverting the urine with a Foley catheter may be the only necessary treatment. Surgery is usually required for all other fistulas.,"Uncontrolled dribbling of urine, urinary incontinence, urine coming from the vagina, increased vaginal secretions.",Vesicovaginal fistula (connection between the bladder and vagina),"An abnormal connection established between the bladder and the vagina. Patients typically have urinary incontinence. The most common causes are trauma during childbirth, gynecologic surgery, vaginal radiation therapy, or invasive cancer of the cervix.","Vaginogram, water/blue staining test, cystoscopy",0
818,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis if the symptoms do not resolve on their own,"Antihistamines, anticholinergics, anti-emetics (anti-nausea medications), and/or benzodiazepines (diazepam, lorazepam) may be used.","Dizziness, room spinning (vertigo), nausea and vomiting, loss of balance, hearing loss in the affected ear, ringing in the ears (tinnitus), involuntary eye movements (nystagmus).","Vestibular neuronitis (labyrinthitis, vertigo)","A disorder of the middle ear that causes dizziness, room spinning (vertigo), and nausea/vomiting. The symptoms become worse with head movement, and lessen by keeping the eyes closed. Vestibular neuronitis can occur during an ear infection or an upper respiratory infection. Sometimes no cause is determined. The symptoms usually resolve after a few days. Also known as labyrinthitis.","Hearing testing, Caloric stimulation testing",0
819,"A history and physical exam will be performed. Blood tests may be needed if dehydration occurs to check for electrolyte abnormalities. Stool, blood or wound cultures may be done to confirm the diagnosis.","Most cases do not require antibiotics since there is no evidence that antibiotic treatment decreases the severity or the length of the illness. Hydration therapy is recommended either orally or with intravenous fluids. Anti-nausea medications may be prescribed. In severe or prolonged illnesses, antibiotics such as tetracycline or ciprofloxacin can be used.","Watery diarrhea, abdominal cramping, nausea, vomiting, fever, chills.",Vibrio parahaemolyticus infection (bacterial infection from shellfish),"Bacteria that live in brackish saltwater of the U.S. and Canada. The infection causes vomiting and diarrhea in humans. The symptoms began 24 hours after eating infected raw or undercooked shellfish, particularly oysters. Most patients are well after 3 days without treatment. Those with impaired immune systems can have more serious infections. Rarely open wounds exposed to contaminated water can become infected with these bacteria.","Stool cultures, wound cultures, blood cultures",0
820,A history and physical exam will be performed. Additional tests will be done to determine the severity of envenomation.,"Crotaline Fab antivenom (CroFab) is the antivenom that is most often used. The decision to administer the antivenom and how much is given is dependent on the symptoms being experience. 

For more information and help call your poison center at 1-800-222-1222.","Local pain and swelling at the bite; swelling of the entire affected body part; severe allergic reactions are rare, but may occur in those previously exposed. The Mohave rattlesnake causes the following symptoms: confusion, weakness, numbness, weakness, facial droop, fainting, low blood pressure.",Rattlesnake (pit viper) bite,"Pit vipers are the most prevalent family of poisonous snakes in the United States and include rattlesnakes, water moccasins and copperheads. The venom is a complex mixture of enzymes, which varies from species to species. The venom is designed to immobilize, kill, and digest the snake's prey. The venom works by destroying tissue, and is capable of causing significant and disfiguring local tissue damage. Deaths in the United States are rare and limited almost entirely to children and the elderly. The Mohave rattlesnake is different than the other pit vipers and has a potent neurotoxin and produces a different set of symptoms.
","PT (Protime), PTT (Partial Thromboplastin Time)",0
821,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis and determine the severity of infection.,"There is no cure for the disease. The damage done by the virus is aggressively treated and medications may include: intravenous fluids, blood transfusions, mechanical ventilation if respiratory failure occurs, and/or antibiotics for super imposed bacterial infections. The disease is not universally fatal, but full recovery can take months.","Headache, fever, swollen eyes, abdominal pain, bloody stools, vomiting blood, nose bleeding, diarrhea.","Viral hemorrhagic fevers (Ebola, Lassa)",The Ebola and Lassa viruses are 2 of 18 viruses known to cause viral hemorrhagic fever. The disorder involves an overall damage to the vascular system manifested by bleeding and multi-organ dysfunction. The virus is not present in the U.S. but can be acquired by traveling to sub-Sahara Africa. The disease is frequently fatal. The disease can be acquired by handling infected fecal matter of infected rodents.,"Serologic blood tests, viral culture, PT (Protime), PTT (Partial Thromboplastin Time), Antibody-capture enzyme-linked immunosorbent assay (ELISA), Antigen-capture detection tests, Serum neutralization test, Electron microscopy
",0
822,A history and physical exam will be performed. Additional tests may be necessary depending on the specific virus in question and the severity of symptoms.,Treatment depends on the virus causing the infection. Many times the only therapy available is to treat the symptoms since there are not many anti-viral medications available. Viruses do not respond to antibiotics.,"Symptoms vary depending on the virus causing the infection. In general they cause: fever, muscle aches, fatigue.",Viral infections,Viruses are capsules with genetic material inside. They are much smaller than bacteria. They enter cells of the body and use the cells to produce more viruses eventually killing the cells. The cell death and the body's immune response to fight the virus cause the symptoms experienced. Viruses cause a whole host of diseases that range from the common cold and flu to AIDS and hemorrhagic fever. Viral infections do not respond to antibiotics. There are only a few anti-viral medications available. Vaccines can prevent some viral infections.,"Serologic blood tests, viral culture",0
823,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis and rule out other causes of the disorder.,"Vitiligo is difficult to treat. Treatment options include: exposure to intense ultraviolet light (narrow-band UVB therapy), trimethyl psoralen (Trisoralen), skin grafting, and/or cosmetic skin dyes.","Sudden or gradual appearance of skin with complete pigment loss. The edges are sharply defined but irregular. The pigment loss is most frequently seen on the face, elbows, knees, hands, feet, and genitalia.",Vitiligo (loss of skin pigment),"The loss of pigmentation in patches of the skin. It can affect persons of any race or ethnic group, and often occurs on the skin on the back of the hands, face and armpits. The loss of pigmentation is caused by the destruction of melanocytes that produce the pigment in the skin. Vitiligo is an autoimmune disorder that can be hereditary.","Vitamin B12, autoimmune blood tests, thyroid tests",1
824,A history and physical exam will be performed. The diagnosis is made by directly examining the vocal cords with a fiber optic scope (laryngoscopy).,"Treatment involves the following: resting the voice, speech therapy, and changing the manner in which the voice is used. At times surgery is necessary to remove the nodule.","Hoarse voice, loss of voice.",Vocal cord nodule (growth on the vocal cords),"The vocal cords are located in the larynx and vibrate to produce sounds. They also prevent food from entering the airway during swallowing. Vocal cord nodules are fibrous or inflammatory small growths that develop on the vocal cords. They most often occur from overuse of the vocal cords, and are sometimes called screamer's nodule, singer's nodule and teacher's nodule.",Laryngoscopy,0
825,A history and physical exam will be performed. The diagnosis is made by directly examining the vocal cords with a fiber optic scope (laryngoscopy).,"Therapy depends on the cause and severity of the vocal cord paralysis. Treatment may include: observation, speech therapy, and/or surgery. In acute cases of bilateral vocal cord paralysis an emergent tracheotomy may need to be done to allow for breathing.","Hoarseness, difficulty speaking, difficulty swallowing. Airway obstruction can occur if both cords become paralyzed in the closed position.",Vocal cord paralysis (voice box weakness),"The vocal cords are located in the larynx and vibrate to produce sounds. They also prevent food from entering the airway during swallowing. There are two cords. If both become paralyzed and remain in the closed position, the airway can become obstructed. This requires emergent treatment. If only one is weakened patients have more problems with speech. Reasons for this disorder include: direct trauma to the cords, chest or neck surgery with an injury to the nerve supplying the cords, multiple sclerosis, stroke, and tumors.","Laryngoscopy, bronchoscopy ",1
826,A history and physical exam will be performed. Additional tests will be done to establish the diagnosis. A CT scan is the most common test to confirm the volvulus.,"Emergency surgery is needed to untwist the bowel and restore blood supply. If the volvulus has been present long enough to cause tissue death, the affected intestine will need to be removed. Many patients are dehydrated requiring intravenous fluids and electrolyte replacement.","Abdominal pain and tenderness, nausea, vomiting, vomiting of fecal smelling material, bloody or dark red stool, distended abdomen.",Volvulus (twisted intestine),"An abnormal twisting of the intestines. The disorder can occur because of a congenital abnormality (mal-rotation of intestine) and usually presents early in life. When it occurs in adults, it more commonly involves the large intestine (colon). Regardless of the cause, the volvulus can cause obstruction of the flow of material through the bowel, variable loss of blood supply, and possible death of the colon. If untreated the disorder can be life threatening.","Barium enema, upper GI series",0
827,A history and physical exam will be performed. A biopsy confirms the diagnosis and identifies the type of cancer.,"The specific treatment depends on the extent of the disease. It may include: surgery, chemotherapy, and/or radiation therapy.

For more information contact the American Cancer Society: (800)227-2345","Raised red, pink or white nodule. Itching, pain, bleeding, vaginal discharge, painful urination.",Vulvar squamous cell carcinoma (skin cancer on female genitalia),"Squamous cell carcinoma is the most common type of cancer of the vulva. It is most often seen in women over 50 years of age. Risk factors include having multiple sexual partners, human papilloma virus (HPV) infection, cervical cancer, and the presence of chronic vaginal and vulvar inflammation.","Biopsy, ",1
828,A history and physical exam will be performed. Blood tests including complete blood count (CBC) and full chemistry panel are done. Blood is also examined for high levels of IgM antibodies. Diagnosis can be confirmed with a lymph node or bone marrow biopsy.,"Therapy may include the following medications: corticosteroids, chlorambucil (Leukeran), melphalan (Alkeran), cyclophosphamide (Cytoxan), fludarabine (Fludara), and/or rituximab (Rituxan). Some patients require red blood cell and platelet transfusions. Patients with very thick blood causing symptoms will need plasmapheresis (plasma exchange) to remove the high levels of IgM antibodies.","Fatigue, dizziness, bleeding of the gums, easy bruising, nosebleeds, unintentional weight loss, visual changes and sometimes vision loss in one eye, swollen glands.",Waldenström macroglobulinemia (blood cell disease),"A cancer of the B lymphocytes (a type of white blood cell). It is associated with the overproduction of large proteins called IgM antibodies. The blood can become too thick, causing decreased blood flow to organs in the body. Patients may also experience difficulties clotting their blood and have problems fighting infections. The cause of the rare type of cancer is not known. Most patients with this disorder are over 65.","Serum protein electrophoresis, 24-hour urine protein, serum globulin electrophoresis, immunofixation in urine, T (thymus derived) lymphocyte count, bone marrow biopsy",0
829,A history and physical exam will be performed. A high PT/INR makes the diagnosis of an overdose of warfarin.,"Warfarin is immediately discontinued. A slightly elevated INR is treated by not taking warfarin for one or two days and restarting at a lower dose. Higher INRs without symptoms are treated with low dose oral vitamin K. Very high INR levels and/or active bleeding are usually treated with intravenous vitamin K. Patients with bleeding may also need intravenous fluids, red blood cell transfusions, fresh frozen plasma and/or factor IX concentrate administration. 

For more information and help call your local poison center at 1-800-222-1222.","Excess bleeding can occur anywhere in the body, including: nosebleeds, bleeding gums, vomiting blood, vomiting coffee ground material, bloody stools, black stools (melena), bleeding in and around the brain.","Warfarin (Coumadin, Jantoven) overdose","Warfarin inhibits vitamin K dependent coagulation factors. It is used to thin the blood in patients who have had deep vein thrombosis (DVT) or pulmonary embolism or have a high risk of forming blood clots in the heart secondary to atrial fibrillation or mechanical heart valve replacement. Almost all overdoses occur because of errors in dosing and/or drug-drug interactions. The overdose may cause no symptoms and only be recognized on a blood test that demonstrates a high Prothrombin Time (PT) or high INR (International Normalized Ratio). However, overdoses can lead to life threatening bleeding.",PT (Protime),0
830,"Blood tests are performed periodically to measure the Prothrombin Time (PT), which is converted to a value called the INR (International Normalized Ratio). The target INR range is usually between 2 and 3, although people with a mechanical heart valve or a hyper-coagulable state may need to run a higher INR.","The patient's blood is monitored to ensure the PT/INR is therapeutic. Patients with an INR above the target range are at increased risk of bleeding. Those with an INR below the target range are at risk of unwanted clotting. In both situations, more frequent monitoring is needed.","Too much medication can cause: nosebleeds, bleeding gums, vomiting blood, vomiting coffee grounds, bloody stools, black stools (melena), easy bruising, dizziness, fainting, confusion.",Warfarin (Coumadin) use,"Warfarin inhibits vitamin K dependent coagulation factors. It is used to thin the blood and is prescribed in the following conditions: heart arrhythmias (atrial fibrillation), stroke, heart stents, deep vein thrombosis (blood clot), pulmonary embolus (blood clot of the lung), mechanical heart valves, and hyper-coagulable disorders. The patient's blood is checked periodically to monitor the effectiveness of the medication. Dietary changes and new medications can alter the effects of the drug causing either too much or too little anti-coagulation.",PT (Protime),0
832,"A history and physical exam will be performed. A blood test for antineutrophil cytoplasmic antibodies (ANCA) is almost always positive in people with the disease. Other tests include chest x-ray, chest CT scan, urine analysis, blood tests for kidney function. A biopsy is usually needed to confirm the diagnosis.","Initial treatment usually includes corticosteroids combined with cyclophosphamide/Cytoxan or rituximab (Rituxan). Once the disease is in remission, doses of the drugs are slowly lowered.","Persistent sinus and nasal inflammation, fever, night sweats, weight loss, bloody urine, cough, coughing up blood, chest pain, shortness of breath.","Wegener's granulomatosis (granulomatosis with polyangiitis,  blood vessel disease)","A type of vasculitis that involves medium sized arteries. The name has been changed to granulomatosis with polyangiitis. Causes inflammation and narrowing of the blood vessels. It most often affects and damages the kidneys, lungs, and upper respiratory tract. The cause of the disease is not known. Left untreated the disorder is life threatening due to severe lung injury and /or kidney failure. This disease is more often seen in adults greater than 35 years old.","Antineutrophil cytoplasmic antibodies (ANCA), open lung biopsy, upper airway biopsy, nasal mucosal biopsy, bronchoscopy with transtracheal biopsy",1
833,"A history and physical exam will be performed. Additional tests will be done to establish the diagnosis in patients with suspected meningitis or encephalitis. In these patients, a lumbar puncture will be done to look for white blood cells in the spinal fluid. The fluid can be sent for special testing. Serologic blood tests can confirm the diagnosis.",There is no specific drug therapy available for this infection. Treatment is aimed at reducing the symptoms and supporting the patient's vital signs. Antibiotics are not helpful. There is not a vaccine for the disease.,"Many have no symptoms. Symptoms may include: fever, headache, back pain, muscle aches, lack of appetite. More severe infections cause: severe headache, stiff neck, confusion, seizures, coma.",West Nile virus infection (mosquito-transmitted illness),"A viral infection that often causes minimal if any symptoms. When symptoms occur, most often they are flu-like. Occasionally, the virus causes inflammation of the lining around the brain and spinal cord (aseptic meningitis) and/or inflammation of the brain (encephalitis). The virus lives in wild birds. Mosquitoes get the virus after biting an infected bird. People then acquire the virus after being bitten by an infected mosquito. The risk of becoming infected is highest during the mosquito season. Efforts to decrease the mosquito population can reduce the number of infections. Most patients fully recover and death is extremely rare. The elderly and people with impaired immune systems have a higher risk of complications and death.","Serologic blood tests, serologic CSF (cerebrospinal fluid) tests, viral culture, lumbar puncture",0
